#  dt dtz fluor_diode izero_diode refl scanNr sry sty
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.000000014901161194e-01 3.693799972534179688e+00 1.117950000000000000e+05 6.808500000000000000e+04 8.607760000000000000e+05 4.860000000000000000e+02 1.499599963426589966e-01 0.000000000000000000e+00
1.000000014901161194e-01 3.755399942398071289e+00 1.109960000000000000e+05 6.812300000000000000e+04 7.721020000000000000e+05 4.860000000000000000e+02 1.524599939584732056e-01 0.000000000000000000e+00
1.000000014901161194e-01 3.816800117492675781e+00 1.053290000000000000e+05 6.817800000000000000e+04 8.137440000000000000e+05 4.860000000000000000e+02 1.549600064754486084e-01 0.000000000000000000e+00
1.000000014901161194e-01 3.878400087356567383e+00 1.096160000000000000e+05 6.807800000000000000e+04 8.222900000000000000e+05 4.860000000000000000e+02 1.574600040912628174e-01 0.000000000000000000e+00
1.000000014901161194e-01 3.940000057220458984e+00 1.138680000000000000e+05 6.810500000000000000e+04 8.181970000000000000e+05 4.860000000000000000e+02 1.599600017070770264e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.001599788665771484e+00 9.975800000000000000e+04 6.816300000000000000e+04 8.215780000000000000e+05 4.860000000000000000e+02 1.624599993228912354e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.063199996948242188e+00 1.111730000000000000e+05 6.811900000000000000e+04 8.063670000000000000e+05 4.860000000000000000e+02 1.649599969387054443e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.124599933624267578e+00 1.066610000000000000e+05 6.806900000000000000e+04 8.240690000000000000e+05 4.860000000000000000e+02 1.674599945545196533e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.186200141906738281e+00 1.110820000000000000e+05 6.816600000000000000e+04 8.124170000000000000e+05 4.860000000000000000e+02 1.699600070714950562e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.247799873352050781e+00 1.131500000000000000e+05 6.812100000000000000e+04 8.526170000000000000e+05 4.860000000000000000e+02 1.724600046873092651e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.309400081634521484e+00 1.065210000000000000e+05 6.811500000000000000e+04 8.292330000000000000e+05 4.860000000000000000e+02 1.749600023031234741e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.370999813079833984e+00 1.128840000000000000e+05 6.817300000000000000e+04 8.342690000000000000e+05 4.860000000000000000e+02 1.774599999189376831e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.432400226593017578e+00 1.115720000000000000e+05 6.813000000000000000e+04 8.277560000000000000e+05 4.860000000000000000e+02 1.799599975347518921e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.493999958038330078e+00 1.035950000000000000e+05 6.807800000000000000e+04 8.261340000000000000e+05 4.860000000000000000e+02 1.824599951505661011e-01 0.000000000000000000e+00
1.000000014901161194e-01 4.555600166320800781e+00 1.030350000000000000e+05 6.805100000000000000e+04 8.182240000000000000e+05 4.860000000000000000e+02 1.849599927663803101e-01 0.000000000000000000e+00
